* T-Spice 13.00 Simulation	Tue Apr 23 15:58:53 2019	C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.sp
* Command line: tspice -o C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.out C:\Users\i140420\Desktop\Kamran_VLSI_12_19-4\NAND\Cell0.sp 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_7 is attached to only one device (MNMOS_3)
* Warning : Node N_9 is attached to only one device (MNMOS_4)
* Warning : Node N_6 is attached to only one device (MPMOS_1)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 5                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 9                    Boundary nodes - 6       
*         Total nodes - 15      

* *** 5 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-008   1e-007
TRANSIENT ANALYSIS
Time<s>            v(A)<V>      v(B)<V>      v(C)<V>      v(D)<V>    v(Out)<V>
 2.193168e-008  5.0000e+000  5.0000e+000  5.0000e+000  3.4158e-001  4.8176e+000
 2.200000e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9329e+000
 2.207025e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9677e+000
 2.277281e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9955e+000
 2.312409e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9989e+000
 2.481155e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9995e+000
 3.000000e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.0002e+000
 3.250000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7577e+000
 3.375000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7352e+000
 4.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7346e+000
 4.200000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9546e+000
 4.250000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  4.9990e+000
 4.600000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 4.700000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9823e+000
 4.750000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9972e+000
 4.775000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9986e+000
 5.025000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  5.0001e+000
 5.100000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  4.9999e+000
 5.200000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9977e+000
 5.250000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9989e+000
 5.275000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9992e+000
 5.524999e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9999e+000
 5.929581e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  4.9999e+000
 6.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 6.100000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 6.131500e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 6.446500e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 8.000000e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 8.100000e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  4.9875e+000
 8.150000e-008  5.0000e+000  0.0000e+000  5.0000e+000  2.5000e+000  4.9967e+000
 8.175000e-008  5.0000e+000  0.0000e+000  5.0000e+000  1.2500e+000  4.9985e+000
 8.190750e-008  5.0000e+000  0.0000e+000  5.0000e+000  4.6250e-001  4.9984e+000
 8.200000e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  4.9984e+000
 8.208175e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  4.9988e+000
 8.289925e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  4.9994e+000
 8.500000e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  4.9998e+000
 8.750000e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9825e+000
 8.875000e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9973e+000
 8.937500e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9993e+000
 9.000000e-008  5.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  4.9994e+000
 9.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7911e+000
 9.150000e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7369e+000
 9.620196e-008  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7369e+000
 1.000000e-007  5.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.7330e+000
*

* Parsing                      0.01 seconds
* Setup                        0.00 seconds
* DC operating point           0.00 seconds
* Transient Analysis           0.01 seconds
* Overhead                     3.46 seconds
* -----------------------------------------
* Total                        3.48 seconds

* Simulation completed	with  5 Warnings

* End of T-Spice output file
